id,communication_id,channel_id,provider_id,provider_message_id,status,error_message,language_used,sent_at,delivered_at,opened_at,clicked_at
1,25,4,1,SMc972d533a7045ca4db0c69a4157bf06d,sent,,,2026-03-30 11:04:16.368608,,,
1774868724194789,25,4,2,SMee146ecb08aa765f47db3d10cde63099,sent,,,2026-03-30 11:05:24.194,,,
1774868813525447,25,4,2,SM2fa9b8814a979bddd50206469fa159c7,sent,,,2026-03-30 11:06:53.525,,,
1774868813525448,26,4,2,SM4c890303a9b885636d51bc8640bb4368,sent,,,2026-03-30 11:19:05.518293,,,
1774868813525449,27,4,2,SM21edf941cb77d7bf027a3619047d57b8,sent,,,2026-03-30 11:20:44.017701,,,
1774868813525450,28,4,2,SMb9db8a6d9679e7ca27dae50201e441cd,sent,,,2026-03-30 11:21:20.755337,,,
1774869796766576,30,5,3,6lV2_-bnQdqOTgLzrSMUgQ,sent,,,2026-03-30 11:28:25.832528,,,
1774869796766577,31,5,3,GPlDnmiMR1KS6Do4cp9wAg,sent,,,2026-03-30 12:05:05.096828,,,
